Designator,Footprint,Quantity,Value,LCSC Part #
J1,TE_84952-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_Socket,
J1001,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
"J1002, J2",AMASS_XT30U-M_1x02_P5.0mm_Vertical,2,md,
"J12, J13, J14, J15",PinSocket_1x06_P2.54mm_Vertical,4,Conn_01x06_Socket,
"J3, J4, J5, J6",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn_01x02_Socket,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,md_logic,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,C15401
