D1:1
D2:1
D4:1
H1:2
J1:1
J10:1
J11:1
J2:1
J3:1
J7:1
J8:1
K1:1
LED_D1:1
MAIN_1:1
Q1:1
Q2:1
R1:1
R10:1
R11:1
R2:1
R4:1
R5:1
R6:1
R9:1
SOLE1:1
