Designator,Mid X,Mid Y,Rotation,Layer
R132,56.48,-97.01,270.0,top
R134,153.06,-193.51,180.0,top
R135,153.06,-175.51,180.0,top
R14,178.889652,-143.23642,123.75,top
R15,169.899538,-148.041736,112.5,top
R16,160.144697,-151.000835,101.25,top
R17,150.0,-152.0,90.0,top
R18,139.855303,-151.000835,78.75,top
R19,130.100462,-148.041736,67.5,top
R2,160.144697,-48.999165,258.75,top
R20,121.110348,-143.23642,56.25,top
R21,113.230447,-136.769553,45.0,top
R22,106.76358,-128.889652,33.75,top
R23,101.958264,-119.899538,22.5,top
R24,98.999165,-110.144697,11.25,top
R25,98.0,-100.0,0.0,top
R26,98.999165,-89.855303,348.75,top
R27,101.958264,-80.100462,337.5,top
R28,106.76358,-71.110348,326.25,top
R29,113.230447,-63.230447,315.0,top
R3,169.899538,-51.958264,247.5,top
R30,121.110348,-56.76358,303.75,top
R31,130.100462,-51.958264,292.5,top
R32,139.855303,-48.999165,281.25,top
R33,156.542315,-48.907396,354.375,top
R34,153.601288,-48.620668,174.375,top
R35,175.577585,-55.25,331.875,top
R36,172.95,-53.811098,151.875,top
R37,190.851626,-68.512266,309.375,top
R38,188.976626,-66.212266,129.375,top
R39,199.79603,-86.531048,286.875,top
R4,178.889652,-56.76358,236.25,top
R40,198.910515,-83.710524,106.875,top
R41,201.169136,-106.521027,264.375,top
R42,201.475,-103.54,84.375,top
R43,194.813902,-125.482415,241.875,top
R44,196.238902,-122.872415,61.875,top
R45,181.662266,-140.723374,219.375,top
R46,183.949532,-138.84,39.375,top
R47,163.514476,-149.760515,196.875,top
R48,166.339476,-148.910515,16.875,top
R49,143.467054,-151.15,174.375,top
R5,186.769553,-63.230447,225.0,top
R50,146.421027,-151.430864,354.375,top
R51,124.372415,-144.771098,151.875,top
R52,126.985,-146.17,331.875,top
R53,109.226626,-131.572266,129.375,top
R54,111.105,-133.87,309.375,top
R55,100.230515,-113.490524,106.875,top
R56,101.085515,-116.320524,286.875,top
R57,98.840864,-93.478973,84.375,top
R58,98.545,-96.44,264.375,top
R59,105.246433,-74.3371,61.875,top
R6,193.23642,-71.110348,213.75,top
R60,103.851433,-76.9471,241.875,top
R61,118.417734,-59.216626,39.375,top
R62,116.135,-61.1,219.375,top
R63,136.459476,-50.220515,16.875,top
R64,133.623952,-51.09103,196.875,top
R65,147.355,-144.29,180.0,top
R66,147.23,-138.94,0.0,top
R67,147.23,-139.88,0.0,top
R68,155.21,-130.8,90.0,top
R69,137.83,-125.615,0.0,top
R7,198.041736,-80.100462,202.5,top
R70,133.73,-125.545,180.0,top
R71,163.36391,-46.648281,75.9375,top
R72,182.763462,-55.823586,53.4375,top
R73,197.175074,-71.724349,30.9375,top
R74,204.404708,-91.929824,8.4375,top
R75,203.351719,-113.36391,345.9375,top
R76,194.176414,-132.763462,323.4375,top
R77,178.275651,-147.175074,300.9375,top
R78,158.070176,-154.404708,278.4375,top
R79,136.63609,-153.351719,255.9375,top
R8,201.000835,-89.855303,191.25,top
R80,117.236538,-144.176414,233.4375,top
R81,102.824926,-128.275651,210.9375,top
R82,95.595292,-108.070176,188.4375,top
R83,96.648281,-86.63609,165.9375,top
R84,105.823586,-67.236538,143.4375,top
R85,121.724349,-52.824926,120.9375,top
R86,141.929824,-45.595292,98.4375,top
R87,115.85,-128.73,270.0,top
R88,117.6,-128.555,90.0,top
R89,133.42,-127.935,90.0,top
R9,202.0,-100.0,180.0,top
R90,163.0925,-130.83,0.0,bottom
R91,166.75,-127.15,0.0,bottom
R92,239.0,-103.02,270.0,top
R93,229.99,-103.02,270.0,top
R94,220.96,-103.02,270.0,top
R95,211.98,-103.02,270.0,top
R98,60.99,-103.07,270.0,top
R99,70.0,-103.07,270.0,top
U1,155.390943,-45.26484,84.375,top
U10,124.073179,-148.50567,241.875,top
U11,107.484425,-134.891631,219.375,top
U12,97.368282,-115.965657,196.875,top
U13,95.26484,-94.609057,174.375,top
U14,101.49433,-74.073179,151.875,top
U15,115.108369,-57.484425,129.375,top
U16,134.034343,-47.368282,106.875,top
U17,234.5,-101.2,270.0,top
U18,65.5,-101.2,270.0,top
U19,148.8225,-184.5,180.0,top
U2,175.926821,-51.49433,61.875,top
U20,216.5,-101.2225,270.0,top
U21,83.5,-101.2,270.0,top
U22,148.8,-166.5,180.0,top
U25,139.85,-137.18,270.0,top
U26,151.795,-133.87,180.0,top
U3,192.515575,-65.108369,39.375,top
U4,202.631718,-84.034343,16.875,top
U5,204.73516,-105.390943,354.375,top
U6,198.50567,-125.926821,331.875,top
U7,184.891631,-142.515575,309.375,top
U8,165.965657,-152.631718,286.875,top
U9,144.609057,-154.73516,264.375,top
Y1,128.19,-137.11,270.0,top
