50K1:1
BATT_1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
D1:1
D2:1
D3:1
D4:1
H1:1
H2:1
K1:1
L1:1
LED_D1:1
MAIN_1:1
Q1:1
Q2:1
R1:1
R10:1
R15:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
SOLE2:1
VR1:1
